주소,동,위도,경도
대구광역시 달서구두류동 137-87,두류동 137-87,35.85846944,128.5620667
대구광역시 달서구성당동 461-1,성당동 461-1,35.84215833,128.555
대구광역시 달서구죽전동 376-8,죽전동 376-8,35.85445833,128.5357694
대구광역시 달서구용산동 860-14,용산동 860-14,35.85806389,128.5324028
대구광역시 달서구도원동 1442-2,도원동 1442-2,35.80584444,128.5355806
대구광역시 달서구송현1동 1968-6,송현1동 1968-6,35.82366111,128.5537778
대구광역시 달서구상인동252-24,상인동252-24,35.81735278,128.5354028
대구광역시 달서구진천동 812,진천동 812,35.812975,128.532825
대구광역시 달서구송현1동 1936-37,송현1동 1936-37,35.82901667,128.5521556
대구광역시 달서구상인동 42,상인동 42,35.82416389,128.5353583
대구광역시 달서구상인2동 438-5,상인2동 438-5,35.81010278,128.5413694
대구광역시 달서구도원동 1457-4,도원동 1457-4,35.804375,128.5350472
대구광역시 달서구상인동 1461 ,상인동 1461 ,35.81059722,128.5350583
대구광역시 달서구송현2동 528-1,송현2동 528-1,35.83254167,128.5453917
대구광역시 달서구송현1동 1945-6,송현1동 1945-6,35.82355833,128.5470028
